index,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,
1872,1/1/2019 19:29,6.30E+11,fraud_McGlynn-Jaskolski,10,134.99,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,6/21/1978,d73ba068c7befebe2ba16d90fdaf001d,1325446155,49.563103,-117.30328,0,0.996014609
617785,9/19/2019 22:52,4.89707E+18,fraud_Boyer-Reichert,12,1022.76,Randy,Wood,M,542 Howe Mission Apt. 092,Port Richey,FL,34668,28.3011,-82.6927,42619,Environmental education officer,10/7/1975,12db283defb3241fb1ba4aac81fd013e,1348095166,27.682253,-82.516019,1,0.02421365
3131,1/2/2019 17:06,6.30E+11,fraud_Dare-Marvin,1,17.6,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,6/21/1978,16d23c2becdc63e6c9419129ed633d93,1325523971,48.989044,-118.907785,0,0.776896244
783297,11/30/2019 22:11,1.80E+14,"fraud_Reichert, Huels and Hoppe",12,901.8,Savannah,Clark,F,0947 Kelly Courts,Seattle,WA,98105,47.6633,-122.3022,837792,"Development worker, international aid",4/20/1957,f4122ec3f254d6261ba3311a85db0e4f,1354313483,47.387087,-121.520573,1,0.905091857
2063,1/1/2019 21:06,3.00E+13,"fraud_Kutch, Steuber and Gerhold",2,60.2,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",11/17/1993,73671af302505878cae7cec3fbf7150c,1325452005,30.481931,-99.616949,0,0.968775697
4062,1/3/2019 13:01,6.0111E+15,"fraud_Romaguera, Cruickshank and Greenholt",12,6.12,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,9/2/1985,022861cdeb1f49598c9828a946a37fda,1325595710,37.934504,-77.960031,0,0.78949387
774393,11/27/2019 19:30,2.25492E+15,"fraud_McCullough, Hudson and Schuster",2,135.53,Margaret,Gibson,F,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313,Insurance underwriter,3/26/1976,ba802703b0732627353379bfbafadf72,1354044608,37.356119,-75.859574,1,0.137730753
4066,1/3/2019 13:03,2.72043E+15,fraud_Quitzon-Goyette,7,12.72,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",8/22/1997,8ac7089e1bd955776ed9770c8e83017e,1325595807,44.668764,-69.609216,0,0.713573879
455435,7/21/2019 3:14,2.28374E+15,"fraud_Goldner, Kovacek and Abbott",5,317.85,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,12/27/1997,910bad5755b4e8437c9971dbde975b28,1342840464,34.507543,-84.382748,1,0.624834995
482,1/1/2019 6:21,5.59635E+15,fraud_Frami Group,1,1.86,Joseph,Moody,M,5901 Foster Pine,Kenner,LA,70062,29.9912,-90.2479,68211,"Engineer, petroleum",4/23/1941,6c79af79df33fc648aefb07e81d8249c,1325398895,29.748642,-90.602809,0,0.689615433
686334,10/20/2019 2:49,3.52126E+15,"fraud_Herman, Treutel and Dickens",9,784.42,Robert,Le,M,837 Kimberly Turnpike,Houston,TX,77038,29.9196,-95.4386,2906700,Careers adviser,7/4/1996,d4e387dca4994656921ec8d87b97a243,1350701359,29.028053,-95.474201,1,0.288087432
599094,9/11/2019 12:22,2.29596E+15,"fraud_Herman, Treutel and Dickens",9,844.23,Tammy,Mathews,F,8498 Lisa Stream,Orange Park,FL,32065,30.1382,-81.7742,98816,Industrial buyer,2/25/1949,a3a57fbc12153c4837402da64e9c571c,1347366126,29.467061,-81.945671,1,0.823832356
785,1/1/2019 10:06,2.70698E+15,fraud_Volkman Ltd,9,95.89,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,12/18/1978,1326b061b54e8c20720833777e9ba690,1325412401,39.47191,-83.145741,0,0.85870997
83685,2/18/2019 22:00,1.80E+14,"fraud_Streich, Rolfson and Wilderman",8,18.23,Christine,Shaffer,F,14017 Thomas Plaza,Loami,IL,62661,39.6704,-89.8588,1213,English as a foreign language teacher,4/22/1991,d63fcf5d8463a2a77fa080b3553f1f66,1329602404,39.175022,-90.571176,1,0.808756835
156,1/1/2019 1:53,3.48E+14,fraud_Luettgen PLC,3,75.82,Michael,Rowe,M,7428 Martinez Flats,Melbourne,FL,32935,28.1384,-80.6524,139650,Database administrator,1/23/1957,07ace7bae64a01639040a26599e27724,1325382820,28.802621,-80.313624,0,0.177311737
56101,2/3/2019 9:19,4.45195E+15,fraud_Bradtke PLC,5,307.64,Joseph,Davis,M,941 Adam Stravenue,Nazareth,TX,79063,34.5444,-102.1069,686,Petroleum engineer,7/30/1980,31d4eee9f48d0201c6e179f3f4e4a676,1328260776,34.074286,-102.794283,1,0.580302733
947727,1/13/2020 23:08,3.50E+14,"fraud_Bernhard, Grant and Langworth",13,853.04,Xavier,Beltran,M,61107 Edwards Dam Apt. 463,Big Creek,KY,40914,37.1046,-83.5706,467,"Psychologist, forensic",6/4/1984,b5fdc865044b7a1492669b689a10e956,1358118535,36.807667,-84.502729,1,0.416296075
799440,12/4/2019 1:51,2.13E+14,fraud_Stoltenberg-Beatty,13,673.33,Margaret,Curtis,F,742 Oneill Shore,Florence,MS,39073,32.153,-90.1217,19685,Fine artist,12/24/1984,c529fa6e5f6f7399965069337f01ee57,1354585872,31.638005,-90.773578,1,0.267739728
1330,1/1/2019 15:16,4.99E+12,"fraud_Runte, Green and Emard",6,14.74,Martin,Ford,M,56812 Francis Courts,Corriganville,MD,21524,39.6967,-78.8031,626,Energy engineer,12/13/1960,e5fe4dcfddff95ff1ebaefc82f09de06,1325430962,40.589422,-79.746431,0,0.210088641
344697,6/10/2019 23:48,3.65E+13,"fraud_Towne, Greenholt and Koepp",12,1039.1,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,1/29/2005,3d1e308152f28d2236eea2fa72ea3a6e,1339372112,40.841864,-83.26698,1,0.010039364
2653,1/2/2019 6:30,2.24835E+15,"fraud_Bins, Balistreri and Beatty",13,5.49,Jennifer,Scott,F,376 John Fork Suite 848,Randolph,OH,44265,41.0109,-81.2977,51,Mechanical engineer,8/5/1960,97e526bcfedbbc0a5053f2fff333a116,1325485833,40.704093,-80.647011,0,0.838387685
356649,6/15/2019 23:34,3.56196E+15,fraud_Kunze Inc,5,322.02,Michael,Lee,M,7915 Dawn Roads Apt. 544,Shelter Island,NY,11964,41.064,-72.3366,1858,Clinical biochemist,3/3/1984,8204aea38f81e245bb965f663e7b05f7,1339803277,41.841071,-73.285941,1,0.630876263
3731,1/3/2019 4:58,3.77E+14,fraud_Kiehn Inc,5,79.3,Tiffany,Stephens,F,1447 Ryan Lodge,Grand Bay,AL,36541,30.4983,-88.3282,15647,"Scientist, physiological",12/26/1957,6fea862720b9b024f66d6cdefc004c86,1325566683,29.648142,-88.949288,0,0.270891249
681697,10/18/2019 3:16,6.76E+11,fraud_Koss and Sons,3,7.04,Christopher,Henry,M,1198 Robert Stravenue Apt. 479,Armonk,NY,10504,41.136,-73.7009,7987,Television/film/video producer,3/16/1964,5ae48ff5d6211d60905290b51318d42c,1350530208,40.462262,-73.705567,1,0.063840796
93957,2/25/2019 6:29,3.58796E+15,fraud_Doyle Ltd,5,320.85,Kathy,Hughes,F,02110 Lucas Freeway Suite 517,Battle Creek,IA,51006,42.3327,-95.6045,1075,"Teacher, early years/pre",1/2/1997,83fee7480f4c4f0e85318b355b290d90,1330151397,42.491699,-95.553358,1,0.991665212
542074,8/19/2019 23:37,3.01E+13,fraud_Leannon-Nikolaus,14,8.65,Amanda,Williams,F,02018 Gary Key Apt. 911,Independence,MO,64058,39.1412,-94.3515,123373,"Engineer, production",11/27/1992,2c6ab214da4202d52c99b320deac59c1,1345419444,38.619044,-94.26756,1,0.019201522
93746,2/25/2019 3:15,1.80E+14,fraud_McDermott-Weimann,5,369.96,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,11/20/1974,6dc0b0bf680e4c763e643c5456304ffc,1330139750,43.644038,-92.030005,1,0.62203171
226,1/1/2019 2:49,4.68E+12,"fraud_Rodriguez, Yost and Jenkins",9,4.73,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",3/6/1978,5c2d3c6826c9c1e7b731885cc807132f,1325386195,35.740311,-85.744277,0,0.096938983
333,1/1/2019 4:22,3.5433E+15,fraud_Hermann-Gaylord,10,56.98,Angela,White,F,137 Adam Dale,Lebanon,VA,24266,36.8809,-82.0956,9521,"Teacher, English as a foreign language",10/19/1977,5fc9b5a9a63a8fc85e6ddc311d7545e0,1325391746,37.867296,-81.335353,0,0.899983232
66083,2/8/2019 23:49,3.56484E+15,fraud_Zemlak Group,9,786.4,Robert,Ashley,M,1250 Christopher Prairie Suite 016,Port Costa,CA,94569,38.046,-122.1866,198,Armed forces training and education officer,3/31/1959,d1267a11201cdc72fcc8a7cdc7fee002,1328744993,38.679519,-121.762099,1,0.283709708
565,1/1/2019 7:20,3.04E+13,fraud_Emard Inc,3,42.1,Kylie,Kirby,F,79816 Jackson Squares,Shedd,OR,97377,44.453,-123.1065,917,Radio broadcast assistant,7/8/1995,ebbffdde1a88f889b1eea0a895eabf10,1325402408,43.595613,-123.429412,0,0.185414813
5472,1/4/2019 14:02,3.05E+13,fraud_Daugherty LLC,8,119.41,Tommy,Dixon,M,8829 Steele Station,Dresden,KS,67635,39.6094,-100.4112,169,"Librarian, public",7/30/1953,3b8ddd37725a18b2c76d0d060fdaa5d9,1325685759,38.992012,-100.558723,0,0.751462988
553876,8/24/2019 22:40,4.1687E+15,fraud_Terry-Huel,12,1031.18,Kevin,Hawkins,M,92811 Jared Spur Apt. 345,Melville,NY,11747,40.7946,-73.403,19803,Police officer,12/29/1998,ab38995756db86cef825b879d6a61dcd,1345848007,41.752788,-73.001164,1,0.271929844
5452,1/4/2019 13:44,4.29404E+15,fraud_Ratke and Sons,6,16.49,Gail,Weaver,F,979 Stewart Lake,New Ellenton,SC,29809,33.413,-81.69,2206,Biomedical scientist,12/31/1986,4c49412200f7c0a19914ba3382c1ef39,1325684690,32.767824,-80.967342,0,0.574825739
975570,1/30/2020 22:53,6.01192E+15,"fraud_Mosciski, Ziemann and Farrell",12,994.99,William,Johnson,M,50843 Vincent Mission,South Londonderry,VT,5155,43.1699,-72.8515,828,Scientific laboratory technician,8/30/1957,b482bfa36e345de614f9123ffa6ebd32,1359586408,43.846461,-71.949092,1,0.834616193
4318,1/3/2019 16:53,3.74E+14,fraud_Schoen Ltd,8,4.87,Linda,Hurst,F,31701 Tucker Square Suite 893,Wilton,ND,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",6/30/1948,13c247ea5530e472222f208a4af2158a,1325609601,47.318293,-101.495122,0,0.465347594
616036,9/19/2019 0:23,6.01136E+15,"fraud_Heller, Gutmann and Zieme",5,294.51,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",8/21/1947,a41c80a44a1a9780504221ff67dee41a,1348014193,39.066938,-78.932077,1,0.470701727
1027610,3/2/2020 0:43,3.45E+14,fraud_Pacocha-O'Reilly,5,292.53,Justin,Fowler,M,5569 Phillips Neck Apt. 003,Coffeeville,MS,38922,33.9215,-89.6782,3451,Financial trader,5/19/1984,88650aaa485c200da01acea3674d6268,1362184985,34.591583,-90.053214,1,0.336765744
1560,1/1/2019 16:52,3.50194E+15,fraud_Bauch-Blanda,1,43.08,Lori,Bishop,F,08056 Alvarado Club Suite 699,Phoenix,AZ,85086,33.8155,-112.1202,1312922,Counselling psychologist,11/30/1999,69d6f735577db17b34204f41129aa20c,1325436728,34.523171,-112.625043,0,0.78062434
5356,1/4/2019 12:27,3.75E+14,fraud_Medhurst PLC,12,6.57,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",12/14/1976,774d36865fcc92617dd6d0be3b5de687,1325680051,46.438969,-96.756031,0,0.028921072
3887,1/3/2019 8:58,5.04E+11,"fraud_Ferry, Reichel and DuBuque",4,37.03,Gregory,Wallace,M,27203 Darrell Landing,Saint James City,FL,33956,26.529,-82.0916,3776,Sport and exercise psychologist,9/12/1976,08c58426834f8e35d942e3cd0aa7a057,1325581127,26.15593,-82.764373,0,0.009227504
834240,12/12/2019 0:53,4.66E+12,fraud_Kuhic Inc,5,347.22,Dwayne,Martinez,M,490 Baldwin Alley Apt. 468,Crownpoint,NM,87313,35.7206,-108.0271,5662,IT consultant,4/8/1989,da67c0d180ce344e52e6a207d197ce29,1355273627,34.766688,-108.589693,1,0.220127038
3821,1/3/2019 7:30,6.01111E+15,"fraud_Tillman, Dickinson and Labadie",3,84.24,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,2/8/1983,bd35037ef1bada9a73121bc24b584754,1325575802,34.950985,-77.440292,0,0.663033814
211228,4/17/2019 23:53,6.5504E+15,fraud_Gerlach Inc,12,1173.4,Harry,Mckee,M,95351 Sullivan Viaduct Apt. 239,Port Charlotte,FL,33981,26.9379,-82.2388,79008,Quantity surveyor,8/31/1984,e0928ccd0af8319bd5590b56c21ca5a9,1334706824,27.896595,-82.411993,1,0.277171346
2190,1/1/2019 22:04,3.53301E+15,fraud_Goyette-Gerhold,8,50.25,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,3/1/1994,bdd09a1e45f78e8316b2a80613afb7fe,1325455473,43.917869,-74.286996,0,0.644467646
1027387,3/1/2020 22:46,3.75E+14,fraud_Kuhic LLC,12,1083.8,Daniel,Escobar,M,61390 Hayes Port,Romulus,MI,48174,42.2203,-83.3583,31515,Police officer,11/5/1971,2a30818f8507b93a709e83537c43fd36,1362177976,41.335555,-83.320286,1,0.498915864
921528,12/30/2019 22:34,4.63E+12,fraud_Auer LLC,11,19.7,Brandy,Johnson,F,446 Daniel View Suite 663,Benton,TN,37307,35.173,-84.6544,4870,Dancer,4/15/1957,a2ea3c961fc18df0013c9f63c7404fbc,1356906845,36.132273,-83.905002,1,0.93651875
3671,1/3/2019 3:17,3.40E+14,fraud_Strosin-Cruickshank,5,315.34,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,78208,29.44,-98.459,1595797,Horticultural consultant,10/28/1960,0ffc2b7dae4c33883f14ac60283d4027,1325560656,28.953283,-97.806528,1,0.501596183
1618,1/1/2019 17:21,2.24874E+15,fraud_Berge-Hills,8,66.94,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,11/11/1962,b95d6909080cb222b639ed16b206efaa,1325438487,39.19756,-100.102939,0,0.056777421
2819,1/2/2019 10:59,4.00568E+15,fraud_Kiehn-Emmerich,5,77.45,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,5/31/1994,22002e682715e12696559533acc9338a,1325501980,29.735688,-90.976525,0,0.525138373
2183,1/1/2019 22:00,3.51487E+15,fraud_Rau-Grant,8,21.39,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,8/30/1967,f5fc8a3c1e6ec3fd813aab0a185ddfc0,1325455242,33.069355,-105.571719,0,0.847429798
989382,2/8/2020 5:55,3.73E+14,"fraud_Greenholt, O'Hara and Balistreri",12,921.14,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,6/18/1985,e47855aba4453605ce5e0f3d04d7d609,1360302926,43.69031,-84.183004,1,0.527689229
192311,4/8/2019 23:44,3.53682E+15,"fraud_Altenwerth, Cartwright and Koss",12,1012.71,Gerald,Frank,M,95793 Andrea Ville Suite 533,Des Moines,IA,50314,41.603,-93.633,222785,Interior and spatial designer,8/10/1981,ea5e70d5af0532bca908b5cda35f2813,1333928644,42.309981,-93.68685,1,0.797772403
4219,1/3/2019 15:16,3.81E+13,"fraud_Hills, Hegmann and Schaefer",6,141.52,Anna,Logan,F,3522 Park Wells Suite 528,Cleveland,TX,77327,30.33,-95.0202,34153,Building surveyor,9/11/1995,061b2030be8bf2d557731a103715036d,1325603780,29.554677,-94.715123,0,0.808755529
4947,1/4/2019 4:05,4.72724E+15,fraud_Friesen Inc,13,1.15,Mary,Lewis,F,118 Justin Extension,Bay Minette,AL,36507,30.8635,-87.7644,19090,Science writer,5/30/2029,dcd7ee37defc94dcec64ac69cd3c431b,1325649928,31.469719,-88.104,0,0.827941211
1426,1/1/2019 15:54,6.30E+11,fraud_Pacocha-Bauch,13,776.98,Jennifer,Black,F,2870 Bean Terrace Apt. 756,Thomas,WV,26292,39.1505,-79.503,836,Forensic psychologist,8/29/1981,c654671b2ab1967cb230c64afd359e6a,1325433272,39.093215,-79.128672,0,0.108976597
256886,5/7/2019 22:23,1.80E+14,fraud_Schmidt and Sons,12,1078.2,Larry,Warner,M,145 Jeffrey Key Suite 668,Lakeview,MI,48850,43.4269,-85.2924,4474,Emergency planning/management officer,1/15/1976,d7f0156f53e63dab15c676a2879779b1,1336429408,42.842345,-85.587345,1,0.352024766
512105,8/10/2019 8:52,3.50097E+15,fraud_Koelpin and Sons,9,825.45,Kenneth,Sanchez,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing/textile technologist,5/31/1999,9f41968b0bc941363c97cb05414990ed,1344588743,46.65058,-116.3469,1,0.933495439
540964,8/19/2019 17:40,3.56542E+15,fraud_Schmitt Ltd,9,882.7,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,3/15/1938,3dacd7cd0154a157696b64633e14d126,1345398058,39.340269,-86.947968,1,0.131943705
669939,10/12/2019 22:13,4.2662E+15,fraud_Stamm-Witting,12,969.7,Joshua,Bryant,M,5452 Patricia Inlet Apt. 280,Nelson,NE,68961,40.201,-98.0684,732,Television/film/video producer,12/13/1956,2bb3497a0e7018e63089e7b8aaa822bf,1350080026,40.93526,-97.220757,1,0.001941575
2134,1/1/2019 21:38,2.13E+14,fraud_Kuhn Group,2,33.89,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1/15/1951,8f73e56f3b7115851fc6139cb9f979a5,1325453924,39.941232,-124.012756,0,0.19933629
590581,9/7/2019 22:29,4.26006E+15,"fraud_Kihn, Abernathy and Douglas",12,901.18,Aaron,Rogers,M,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005,Network engineer,3/15/1945,b9326c6882bd24941be914eb7c78b6ba,1347056943,43.158184,-100.50442,1,0.869702979
3233,1/2/2019 19:01,4.5506E+15,fraud_Kirlin and Sons,11,38.43,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,5/29/1968,f4ee03c90980f1db4c9270bd1f251a4e,1325530899,40.2739,-82.011534,0,0.718219989
3439,1/2/2019 22:29,4.72584E+18,"fraud_Goyette, Howell and Collier",13,218.07,Elizabeth,Mckee,F,358 Pruitt Square,Jay,FL,32565,30.8985,-87.1332,5719,Higher education careers adviser,11/5/1994,8bdb1c9abd74e59fc39412c5f29c0842,1325543392,30.202118,-87.05236,0,0.863240372
728358,11/7/2019 14:34,3.54756E+15,fraud_Heathcote LLC,12,1033.34,Jerry,Robinson,M,212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680,"Designer, jewellery",12/21/1966,f13079ef4c1cb76434b6444a68312800,1352298896,44.133752,-86.659232,1,0.586862207
112803,3/4/2019 22:05,2.65785E+15,fraud_Bins-Tillman,1,383.07,Alan,Howard,M,04139 Johnson Prairie Suite 401,Detroit,MI,48206,42.3749,-83.1087,673342,Trading standards officer,11/1/1946,16d9b06a938ff05d3eaccfa38b542d47,1330898725,42.270551,-82.607415,1,0.835716883
1478,1/1/2019 16:15,6.0115E+15,fraud_Gibson-Deckow,1,10.85,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,11/2/1971,8a41e92d82c072545593c5e65a622b97,1325434549,33.373295,-86.687686,0,0.658508231
3968,1/3/2019 11:06,1.80E+14,fraud_Kutch-Hegmann,4,91.69,Melissa,Flores,F,7529 Carter Well Suite 262,Huntington Beach,CA,92648,33.6773,-118.0051,190249,"Therapist, horticultural",9/17/1976,cd1bebb63c72f6a2d2c46d7a06633101,1325588810,33.394153,-118.037623,0,0.048059778
834391,12/12/2019 2:10,4.37899E+15,fraud_Volkman Ltd,9,903.09,Travis,Hayes,M,1561 Chase Grove,Conway,NH,3818,43.9742,-71.1503,3807,Surgeon,10/25/1999,062bc37daad265cf6d6bd3849d569cde,1355278256,43.212841,-70.376388,1,0.325641489
3159,1/2/2019 17:39,6.51507E+15,"fraud_Berge, Kautzer and Harris",11,25.96,Kevin,Pena,M,2674 Bentley Radial,Damascus,VA,24236,36.6403,-81.7776,3085,Land/geomatics surveyor,10/15/1990,11bba45b27b474738e6e940413bd8ce7,1325525960,36.19096,-82.322446,0,0.607900023
1605,1/1/2019 17:13,3.5607E+15,fraud_Dietrich-Fadel,6,12.58,Matthew,Young,M,8840 Miller Port Suite 645,Indian Wells,CA,92210,33.7163,-116.3381,4677,Learning mentor,5/6/1955,9ae33b40ae4f639711276a6bdfead0d0,1325438026,33.507377,-117.205948,0,0.12431141
884565,12/22/2019 23:50,4.42434E+15,fraud_Kiehn Inc,5,302.26,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,11/12/1957,12190a43e19b882fda906157ef16fce5,1356220219,40.134702,-82.807135,1,0.765134759
3201,1/2/2019 18:28,3.57339E+15,fraud_Tromp Group,14,4.23,Stephanie,Murphy,F,526 Stacy Walks,Barnard,SD,57426,45.7205,-98.5534,63,Systems developer,10/30/1969,49f79fbe5b2560199362a13f3fcc5a3b,1325528891,45.45585,-99.027473,0,0.435704153
554328,8/25/2019 1:42,4.12803E+15,"fraud_Schultz, Simonis and Little",5,330.59,Kyle,Park,M,7507 Larry Passage Suite 859,Mount Perry,OH,43760,39.8788,-82.188,1831,Barrister's clerk,10/18/1953,d7b2ee44e2562c9d662b6f9a64c03d4b,1345858955,39.534729,-82.115369,1,0.659927794
2061,1/1/2019 21:06,3.57602E+15,"fraud_Monahan, Hermann and Johns",14,6.89,Dawn,Gray,F,9486 Joel Common Suite 554,Topeka,KS,66618,39.1329,-95.7023,163415,Secondary school teacher,12/30/2004,2d7b8c40e63a58920bf8fc528c84a877,1325451964,38.346707,-96.149244,0,0.509710557
179494,4/3/2019 23:48,5.14404E+15,"fraud_Streich, Dietrich and Barton",12,994,Dakota,Fowler,M,16220 Joseph Point Suite 096,Mountain City,TN,37683,36.4657,-81.814,13021,Tree surgeon,7/17/2001,db194959b156dee693d5599a2ec54382,1333496912,37.324006,-80.905928,1,0.520245689
5441,1/4/2019 13:36,4.15502E+15,fraud_Fadel Inc,6,7.65,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),10/12/1983,4e931bd946fa0016be4236cf6eff12b8,1325684178,35.636834,-98.015327,0,0.128837972
608,1/1/2019 7:57,4.01E+15,fraud_Kling-Grant,4,51.66,Jennifer,Bishop,F,589 Matthew Brooks,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,8/24/1983,af2ef0b867d92e8ac93649386cfede3e,1325404651,30.767878,-95.073866,0,0.374582568
886,1/1/2019 11:10,4.19E+12,fraud_Cole PLC,5,87.51,Casey,Howell,F,374 Christopher Ramp Suite 855,Blackville,SC,29817,33.3645,-81.2718,4913,Technical brewer,11/10/1966,4f8761857126381eb1d3e29d74e3c466,1325416234,33.390662,-81.916154,0,0.606362974
